id,review,rating,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17
35,性价比很高，下次还会再来,4,-1,0,1,-2,-2,-2,0,0,-2,1,0,-2,-2,1,-1,0,1,-2
36,交通不太方便，建议自驾出行,4,0,-1,-1,-2,0,-1,0,0,-2,-1,1,-2,-1,-1,-1,-1,-1,0
37,这个景点风景很美，非常值得一去！,4,-1,-2,-1,-2,0,-2,1,1,-2,-2,-2,-2,1,-1,-2,-2,1,1
38,导游讲解很专业，学到了很多知识,1,0,1,1,-1,-2,0,1,1,0,-1,1,-2,1,-2,0,-2,0,-2
39,导游讲解很专业，学到了很多知识,1,-1,-2,-2,-1,1,1,-2,-1,-2,0,0,-2,1,1,-2,-2,0,1
40,这个景点风景很美，非常值得一去！,4,-1,0,1,1,0,-1,0,1,-2,-2,0,1,-2,1,0,-2,1,-2
41,价格有点贵，但质量确实不错,1,0,-2,-2,-1,-1,0,-1,0,-1,-2,0,0,-2,0,0,-1,0,1
42,这个景点风景很美，非常值得一去！,2,-1,1,-2,-2,-1,0,-1,-2,1,-1,-2,-1,0,-1,-1,-2,-2,-2
43,餐厅环境很好，菜品很有特色,3,1,1,-2,-2,-1,1,-2,0,0,-2,-2,1,1,-1,1,0,0,-2
44,性价比很高，下次还会再来,3,-1,-1,0,0,-1,0,-2,-2,-1,1,-1,-1,1,1,1,-2,0,-2
45,价格有点贵，但质量确实不错,1,0,-2,1,-1,-2,0,1,-2,-2,1,-2,-1,-2,-1,-1,1,-2,1
46,交通不太方便，建议自驾出行,5,0,-2,1,-1,-2,0,1,-2,1,0,0,1,-2,-1,0,-2,-2,-1
47,价格有点贵，但质量确实不错,1,-2,-1,-1,0,1,0,-2,0,1,-1,1,1,1,-1,1,1,1,-2
48,酒店很干净，设施也很齐全,2,1,1,-1,1,-1,1,-1,1,1,-2,-2,1,1,0,-1,0,-2,-2
49,这个景点风景很美，非常值得一去！,5,1,-2,1,1,-2,-2,-1,0,-2,-1,-1,0,1,-2,0,-2,-1,-1
50,酒店很干净，设施也很齐全,2,0,-2,-2,0,1,-2,-1,-2,-1,1,0,-2,0,-2,-1,0,-2,-1
51,导游讲解很专业，学到了很多知识,3,-2,-2,-2,-1,-2,0,0,-2,-2,1,0,-1,1,-2,-2,0,-2,-1
52,导游讲解很专业，学到了很多知识,5,0,-2,-2,-2,-1,-1,0,-2,-2,-1,-2,-1,-2,0,-2,-2,1,-1
53,这个景点风景很美，非常值得一去！,1,1,1,-1,1,0,1,0,-1,-1,-1,-1,-1,0,0,-1,1,-2,-1
54,性价比很高，下次还会再来,5,-1,-1,0,-2,-2,1,0,0,0,0,-2,-2,-1,-1,0,0,0,-1
55,酒店很干净，设施也很齐全,4,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,1,-2,-1,-2,1,0,1
56,餐厅环境很好，菜品很有特色,2,0,-2,-2,-2,1,-1,1,-2,-1,-2,1,1,1,-2,-1,-1,-2,-1
57,交通不太方便，建议自驾出行,3,0,1,0,0,0,-2,0,0,1,0,0,-1,1,1,1,1,1,1
58,这个景点风景很美，非常值得一去！,3,1,0,0,-2,1,-1,-2,-1,0,0,-2,-2,-1,1,-1,-2,-1,-2
59,餐厅环境很好，菜品很有特色,1,-2,-2,1,-1,-1,-1,-2,-1,-1,-2,0,-2,-1,-2,0,-2,-1,0
60,酒店很干净，设施也很齐全,3,0,1,-2,-2,-1,1,-2,1,-2,0,-2,1,0,0,0,1,-1,-1
61,住宿条件一般，但服务态度不错,4,0,-1,1,-1,-2,-1,-1,0,1,0,0,0,0,0,-1,0,0,1
62,交通不太方便，建议自驾出行,2,-1,-1,0,0,0,1,-2,0,-2,1,-1,0,-2,-2,0,-1,-1,-1
63,性价比很高，下次还会再来,1,-2,-2,1,-2,1,-1,0,-2,-2,-1,0,1,0,-1,-1,0,1,1
64,这个景点风景很美，非常值得一去！,4,0,-1,-2,-2,-1,1,-1,1,-1,0,1,0,-2,-1,-2,-2,-2,-2
65,餐厅环境很好，菜品很有特色,5,-1,-1,0,1,1,-1,0,-1,-1,-1,0,1,0,-2,0,0,0,0
66,酒店很干净，设施也很齐全,5,1,1,0,-1,-1,1,1,0,1,0,-1,-1,-2,-1,1,-1,0,-1
67,这个景点风景很美，非常值得一去！,2,0,0,1,-1,0,-2,1,-2,-1,-1,-1,1,0,1,-2,1,-2,1
68,价格有点贵，但质量确实不错,1,-1,-1,1,-1,-2,-1,0,0,1,-2,0,0,-2,-1,-1,1,-1,-2
69,价格有点贵，但质量确实不错,2,1,-1,-2,1,-1,1,-2,0,-2,-2,-2,-2,0,0,1,-1,0,0
70,餐厅环境很好，菜品很有特色,1,-2,-1,1,1,-1,-1,-2,1,0,-2,-1,1,0,0,-2,1,1,-1
71,性价比很高，下次还会再来,5,1,0,-2,-2,-1,1,-1,0,-2,-2,-2,0,0,-1,-1,-1,1,-2
72,交通不太方便，建议自驾出行,2,-2,-1,1,1,0,1,-1,1,0,-2,-1,-2,0,0,0,-2,-2,-2
73,这个景点风景很美，非常值得一去！,2,-1,-2,1,1,0,0,0,-1,-1,0,0,0,1,-1,1,1,0,0
74,交通不太方便，建议自驾出行,1,1,-1,0,0,1,-2,-1,-2,-2,-2,-2,0,0,-2,-1,1,-1,-1
75,住宿条件一般，但服务态度不错,5,0,-1,-2,-1,-1,-2,0,0,1,-2,1,1,1,0,-2,1,-2,-2
76,价格有点贵，但质量确实不错,4,1,-2,-1,0,0,0,0,1,1,-1,0,0,-2,1,0,-1,-1,1
77,餐厅环境很好，菜品很有特色,2,-1,0,1,-1,-2,1,-1,-1,-2,-2,0,1,1,0,1,1,1,1
78,性价比很高，下次还会再来,5,1,-2,1,0,-1,-2,1,0,-1,-2,-1,0,-2,-1,1,-2,-1,0
79,价格有点贵，但质量确实不错,1,-1,-2,-2,-1,-1,1,-1,0,-2,-2,0,-1,0,0,1,0,-2,0
80,这个景点风景很美，非常值得一去！,5,-2,-1,1,-2,-2,-1,-2,0,0,1,-2,-1,0,-1,-1,0,-1,0
81,住宿条件一般，但服务态度不错,3,-2,1,0,0,1,0,0,-1,1,-2,0,1,-1,-2,1,-2,-2,-2
82,价格有点贵，但质量确实不错,3,-1,-1,1,-1,-2,-2,0,-2,1,-2,-2,1,-1,-1,1,0,-2,1
83,这个景点风景很美，非常值得一去！,1,1,-2,-1,0,0,0,1,0,-1,1,-1,-2,-2,-2,-2,-1,1,1
84,导游讲解很专业，学到了很多知识,2,-2,-1,0,0,-1,-1,-1,1,-2,-1,-1,-1,0,0,1,-2,1,-2
85,价格有点贵，但质量确实不错,3,1,-1,-1,0,-1,-1,1,-2,0,0,1,1,-1,0,-2,1,-2,-2
86,价格有点贵，但质量确实不错,3,1,0,0,0,-2,1,-1,-2,0,-2,0,0,-2,1,0,1,-1,0
87,酒店很干净，设施也很齐全,3,1,1,1,-2,-1,-2,-1,0,0,1,-1,0,-1,0,-2,0,-2,0
88,酒店很干净，设施也很齐全,5,0,1,-2,1,-1,-1,-2,0,-2,1,0,-1,0,-1,0,0,0,1
89,性价比很高，下次还会再来,5,-2,-1,1,-1,-2,-1,-2,1,0,1,-1,-1,1,1,-2,-1,-1,1
90,导游讲解很专业，学到了很多知识,1,-1,0,-2,-1,-2,1,-1,-2,-2,0,-2,-1,-1,0,-1,1,-1,-1
91,交通不太方便，建议自驾出行,5,-1,0,-2,0,-1,-1,1,-2,-1,1,-2,-1,-1,-2,-2,-2,-1,-1
92,性价比很高，下次还会再来,5,-1,-1,-2,0,-2,0,-1,0,1,-1,1,-2,-2,-2,0,-1,-2,-2
93,住宿条件一般，但服务态度不错,5,1,-1,-1,-1,1,-1,1,-1,0,-2,0,-2,1,0,-1,-2,-2,0
94,酒店很干净，设施也很齐全,3,1,1,-2,0,0,1,0,-1,-1,0,0,1,-1,-1,-2,1,-2,-1
95,性价比很高，下次还会再来,4,0,0,1,0,-2,-1,0,-2,0,-1,-2,-1,-1,-2,-2,-2,1,-2
96,这个景点风景很美，非常值得一去！,1,-2,0,1,-1,-2,0,0,0,-1,-2,1,1,0,-1,-1,-1,1,0
97,交通不太方便，建议自驾出行,4,0,0,-2,-2,-2,-1,-2,0,-2,0,1,-1,1,1,0,1,0,-2
98,这个景点风景很美，非常值得一去！,5,-1,1,-1,1,-2,-1,-2,1,0,0,-1,-2,-2,-1,0,1,-1,1
99,价格有点贵，但质量确实不错,1,0,-1,-2,-1,-1,0,-1,0,-2,0,-2,0,1,1,-1,0,0,-2
